"CPost","Česká pošta"
"TopOSScz CPost","TopOSScz Česká pošta"
"Import from CPost","Import z České pošty"
"Tracking Title","Záhlaví čísla zásilky"
"Import File","Import souboru"
"Import","Import"
"Line format:","Formát řádku:"
"order id","id objednávky"
"tracking number","číslo zásilky"
"Export to CPost by Invoices","Export do České pošty podle faktur"
"Export to CPost by Orders","Export do České pošty podle objednávek"
"Export to CPost","Export do České pošty"
"Export by Invoices","Export podle faktur"
"Export by Orders","Export podle objednávek"
"No Order has been selected","Nebyla vybrána žádná objednávka"
"Invalid file upload attempt","Chyba při nahrávání souboru"
"Order Id","Id objednávky"
"Tracking Number","Číslo zásilky"
"Line %s format is invalid and has been ignored","Formát řádku %s je chybný a bude ignorován"
"Order %s does not exist","Objednávka %s neexistuje"
"Shipment %s created for order %s, with tracking number %s","Zásilka %s vytvořená pro objednávku %s s číslem zásilky %s"
"Order %s - Invoice %s can not be shipped or has already been shipped, tracking number %s","Objednávka %s - Faktura %s nemůže být odeslána nebo je již odeslána, číslo zásilky %s"
"Shipment creation error for Order %s : %s","Chyba při vytváření zásilky pro objednávku %s : %s"
"Simple Quote","Jednoduché uvozovky"
"Double Quotes","Dvojité uvozovky"
"Export Configuration","Nastavení exportu"
"File Extension","Přípona souboru"
"File Charset","Kódování souboru"
"End Of Line Character","Konce řádku"
"Field Delimiter","Oddělovač pole"
"Field Separator","Oddělovač pole"
"Import Configuration","Nastavení importu"
"Default Tracking Title","Výchozí záhlaví čísla zásilky"
"This value can be changed in the import form","Tato hodnota může být změněna ve formuláři importu"
"Send an e-mail","Poslat e-mail"
"Send shipping confirmation to the customer","Odeslat potvrzení o zásilce zákazníkovi"
"Shipping Comment","Komentář k zásilce"
"Internal comment, can be left empty","Interní komentář, může zůstat prázdný"
"Include comment into e-mail","Vložit komentář do e-mailu"
"Only applies if the shipping comment is set","Pouze při vloženém komentáři"
"Tracking number %s was successfully added to order %s","Číslo zásilky %s bylo úspěšně přiřazeno k objednávce číslo %s"
"Invoice %s does not exist","Faktura %s neexistuje"
